,0,1
594,8913,CACNA1G
595,56140,PCDHA8
596,50801,KCNK4
597,23359,FAM189A1
598,9148,NEURL1
599,54958,TMEM160
600,84707,BEX2
601,4166,CHST6
602,284433,OR10H5
603,64208,POPDC3
604,5064,PALM
605,23769,FLRT1
606,55530,SVOP
607,80759,KHDC1
608,51704,GPRC5B
609,9746,CLSTN3
610,22895,RPH3A
611,242,ALOX12B
612,22808,MRAS
613,170685,NUDT10
614,7216,TRO
615,81706,PPP1R14C
616,90134,KCNH7
617,286499,FAM133A
618,285800,PRR18
619,107,ADCY1
620,2557,GABRA4
621,89958,SAPCD2
622,4887,NPY2R
623,9468,PCYT1B
624,7143,TNR
625,3195,TLX1
626,124842,TMEM132E
627,344905,ATP13A5
628,113451,AZIN2
629,7681,MKRN3
630,22861,NLRP1
631,112755,STX1B
632,139425,DCAF8L1
633,54329,GPR85
634,5649,RELN
635,84530,SRRM4
636,1524,CX3CR1
637,114800,CCDC85A
638,22924,MAPRE3
639,79776,ZFHX4
640,2900,GRIK4
641,4111,MAGEA12
642,4099,MAG
643,6565,SLC15A2
644,114088,TRIM9
645,83445,GSG1
646,1943,EFNA2
647,728373,USP17L25
648,89927,BMERB1
649,2823,GPM6A
650,57571,CARNS1
651,83894,TTC29
652,10046,MAMLD1
653,23316,CUX2
654,2786,GNG4
655,1400,CRMP1
656,54825,CDHR2
657,8303,SNN
658,56650,CLDND1
659,80823,BHLHB9
660,496,ATP4B
661,57476,GRAMD1B
662,1446,CSN1S1
663,29989,OBP2B
664,55605,KIF21A
665,144423,GLT1D1
666,84968,PNMA6A
667,1258,CNGB1
668,337879,KRTAP8-1
669,54332,GDAP1
670,1804,DPP6
671,8707,B3GALT2
672,7224,TRPC5
673,7476,WNT7A
674,57524,CASKIN1
675,348487,FAM131C
676,54212,SNTG1
677,2894,GRID1
678,730098,LOC730098
679,1392,CRH
680,56113,PCDHGA2
681,53342,IL17D
682,147381,CBLN2
683,65055,REEP1
684,9890,PLPPR4
685,642597,AKAIN1
686,11332,ACOT7
687,6539,SLC6A12
688,6538,SLC6A11
689,26999,CYFIP2
690,389206,BEND4
691,339453,TMEM240
692,257,ALX3
693,11075,STMN2
694,161725,OTUD7A
695,116,ADCYAP1
696,416,ARSF
697,3208,HPCA
698,26012,NSMF
699,57586,SYT13
700,23120,ATP10B
701,65267,WNK3
702,8424,BBOX1
703,190,NR0B1
704,2168,FABP1
705,114928,GPRASP2
706,2835,GPR12
707,164153,UBL4B
708,389649,C8ORF86
709,654429,LRTM2
710,56977,STOX2
711,140258,KRTAP13-1
712,10810,WASF3
713,9118,INA
714,57575,PCDH10
715,57628,DPP10
716,51458,RHCG
717,131408,FAM131A
718,6663,SOX10
719,115019,SLC26A9
720,7280,TUBB2A
721,90668,CARMIL3
722,6712,SPTBN2
723,7827,NPHS2
724,3822,KLRC2
