,GeneID,symbol
724,90134,KCNH7
725,286499,FAM133A
726,285800,PRR18
727,148738,HJV
728,107,ADCY1
729,2557,GABRA4
730,89958,SAPCD2
731,4887,NPY2R
732,9468,PCYT1B
733,7143,TNR
734,3195,TLX1
735,124842,TMEM132E
736,344905,ATP13A5
737,113451,AZIN2
738,7681,MKRN3
739,145497,LRRC74A
740,22861,NLRP1
741,112755,STX1B
742,139425,DCAF8L1
743,54329,GPR85
744,5649,RELN
745,84530,SRRM4
746,1524,CX3CR1
747,114800,CCDC85A
748,22924,MAPRE3
749,79776,ZFHX4
750,2900,GRIK4
751,83889,WDR87
752,4111,MAGEA12
753,4099,MAG
754,6565,SLC15A2
755,86614,HSFY1
756,114088,TRIM9
757,65121,PRAMEF1
758,392399,LCN9
759,83445,GSG1
760,1943,EFNA2
761,728373,USP17L25
762,58158,NEUROD4
763,89927,BMERB1
764,2823,GPM6A
765,56137,PCDHA12
766,389177,TMEM212
767,57571,CARNS1
768,83894,TTC29
769,10046,MAMLD1
770,23316,CUX2
771,84889,SLC7A3
772,2786,GNG4
773,1400,CRMP1
774,54825,CDHR2
775,8303,SNN
776,56650,CLDND1
777,80823,BHLHB9
778,496,ATP4B
779,57476,GRAMD1B
780,1446,CSN1S1
781,29989,OBP2B
782,55605,KIF21A
783,144423,GLT1D1
784,84968,PNMA6A
785,1258,CNGB1
786,337879,KRTAP8-1
787,54332,GDAP1
788,1804,DPP6
789,8707,B3GALT2
790,221191,PRSS54
791,100528020,FAM187A
792,7224,TRPC5
793,26737,OR1L1
794,7476,WNT7A
795,57524,CASKIN1
796,348487,FAM131C
797,54212,SNTG1
798,2894,GRID1
799,730098,LOC730098
800,1392,CRH
801,56113,PCDHGA2
802,53342,IL17D
803,147381,CBLN2
804,65055,REEP1
805,9890,PLPPR4
806,642597,AKAIN1
807,11332,ACOT7
808,6539,SLC6A12
809,6538,SLC6A11
810,26999,CYFIP2
811,389206,BEND4
812,339453,TMEM240
813,57408,LRTM1
814,257,ALX3
815,11075,STMN2
816,161725,OTUD7A
817,116,ADCYAP1
818,416,ARSF
819,3208,HPCA
820,26012,NSMF
821,57586,SYT13
822,23120,ATP10B
823,65267,WNK3
824,8424,BBOX1
825,190,NR0B1
826,2168,FABP1
827,114928,GPRASP2
828,2835,GPR12
829,164153,UBL4B
830,389649,C8orf86
831,654429,LRTM2
832,56977,STOX2
834,140258,KRTAP13-1
835,10810,WASF3
836,9118,INA
837,57575,PCDH10
838,57628,DPP10
839,51458,RHCG
840,131408,FAM131A
841,6663,SOX10
842,115019,SLC26A9
843,7280,TUBB2A
844,90668,CARMIL3
845,6712,SPTBN2
846,7827,NPHS2
847,3822,KLRC2
848,387775,SLC22A10
849,55885,LMO3
850,390429,OR4N2
851,79570,NKAIN1
852,26018,LRIG1
853,4625,MYH7
854,80723,SLC35G2
855,60484,HAPLN2
856,1133,CHRM5
857,285382,C3orf70
858,79041,TMEM38A
859,26251,KCNG2
860,57181,SLC39A10
861,2520,GAST
862,283694,OR4N4
863,347731,LRRTM3
864,9764,KIAA0513
865,199699,DAND5
866,94015,TTYH2
867,285175,UNC80
868,5275,SERPINB13
869,100507003,GFY
870,100287045,FAM90A26
871,145447,ABHD12B
872,576,ADGRB2
873,57447,NDRG2
874,84620,ST6GAL2
875,25927,CNRIP1
876,257194,NEGR1
877,441308,OR4F21
878,54511,HMGCLL1
879,375759,C9orf50
880,8120,AP3B2
881,419,ART3
882,57180,ACTR3B
883,28512,NKIRAS1
884,5453,POU3F1
885,11250,GPR45
886,255027,MPV17L
888,56154,TEX15
889,343263,MYBPHL
890,100129654,TCF24
891,8851,CDK5R1
892,10715,CERS1
893,4684,NCAM1
894,10368,CACNG3
895,6622,SNCA
896,222553,SLC35F1
897,80150,ASRGL1
898,339512,CCDC190
899,285525,YIPF7
900,3881,KRT31
901,9892,SNAP91
902,9023,CH25H
903,23746,AIPL1
905,4760,NEUROD1
906,388323,GLTPD2
907,2830,GPR6
908,57460,PPM1H
909,389075,RESP18
910,23101,MCF2L2
911,9379,NRXN2
912,4345,CD200
913,7546,ZIC2
914,283576,ZDHHC22
915,1579,CYP4A11
916,100507679,MUC22
917,118812,MORN4
918,2845,GPR22
919,79929,MAP6D1
920,221223,CES5A
921,56106,PCDHGA10
922,54752,FNDC8
923,56344,CABP5
924,158399,ZNF483
925,22848,AAK1
926,645369,TMEM200C
927,353133,LCE1C
928,5568,PRKACG
929,57468,SLC12A5
930,9515,STXBP5L
931,114880,OSBPL6
932,93426,SYCE1
933,80863,PRRT1
934,5080,PAX6
935,56130,PCDHB6
936,1759,DNM1
937,284348,LYPD5
938,54704,PDP1
939,23321,TRIM2
941,23208,SYT11
942,245915,DEFB112
943,54777,CFAP46
944,80309,SPHKAP
945,9829,DNAJC6
946,11023,VAX1
948,79747,ADGB
949,10744,PTTG2
951,164127,CCDC185
952,375607,NAT16
953,11170,FAM107A
954,442444,FAM47C
955,255426,RASGEF1C
956,100287205,USP17L12
957,63973,NEUROG2
958,6507,SLC1A3
959,3897,L1CAM
960,6011,GRK1
961,84504,NKX6-2
962,22911,WDR47
963,9229,DLGAP1
