,patient,cond,pharm,session_id,chan,y,z,exp,knee,tau,log_tau,err,r2
1043,Chibi,EyesClosed,Ketamine,0.0,20.0,602.1405764326258,702.5895165788161,4.035335051852481,143918.06874169988,0.008386542367894202,-2.0764170546719116,0.034568126963616816,0.9974582409455707
1044,Chibi,EyesClosed,Ketamine,0.0,21.0,656.8781850154369,723.3266938663603,3.63619496600737,15035.949856669731,0.011299412360444246,-1.9469441419371567,0.03207311585770217,0.9980857337262147
1045,Chibi,EyesClosed,Ketamine,0.0,22.0,697.2797532551306,751.8403126367335,3.7226645547090507,18045.966040511285,0.011440655108568962,-1.941549106496608,0.03296402055888464,0.9982317077483659
1046,Chibi,EyesClosed,Ketamine,0.0,23.0,203.33799961500387,825.7165067236099,3.131593848875076,2574.127312344134,0.012963329720151266,-1.887283432620178,0.035537910977222545,0.9939783751767934
1047,Chibi,EyesClosed,Ketamine,0.0,24.0,211.15765798397683,781.6500049875783,3.153769726016102,3293.1097630655927,0.012202661086965882,-1.9135454505250677,0.035371098196487684,0.9937361479836886
1048,Chibi,EyesClosed,Ketamine,0.0,25.0,255.46905540815715,760.9128277000342,2.8251123753151,1091.1311083893058,0.013381605983677618,-1.873491761904939,0.038234921512706715,0.9897019470218535
1049,Chibi,EyesClosed,Ketamine,0.0,26.0,308.90338759613905,729.8070617687179,2.8168453296838734,1107.4841618159546,0.01321474523459609,-1.8789412051600143,0.04511050028195677,0.9894201015234191
1050,Chibi,EyesClosed,Ketamine,0.0,27.0,366.24754896860765,712.9581052225883,2.8922624650270907,1410.874947813635,0.012968334379655388,-1.8871158000282189,0.0398379574086118,0.9889241382122327
1051,Chibi,EyesClosed,Ketamine,0.0,28.0,417.07532836693207,697.4052222569301,3.0081624734354513,2776.182101198852,0.011405614273185828,-1.9428813199207844,0.013304072617865068,0.9992578118358615
1052,Chibi,EyesClosed,Ketamine,0.0,29.0,471.81293694974295,683.1484128717434,2.785975731738298,2396.464612727444,0.009744389611910103,-2.0112453598795197,0.02498545145585133,0.9943663287901732
1053,Chibi,EyesClosed,Ketamine,0.0,30.0,531.7636511118691,670.1876770670282,3.605084427423915,42871.32795282072,0.00825889240671636,-2.0830781916511123,0.0225242693944253,0.9978108336651933
1054,Chibi,EyesClosed,Ketamine,0.0,31.0,596.9274708533108,666.2994563256136,3.1851618785272726,7862.0099586391825,0.009523461336737359,-2.0212051770112174,0.04086242416225838,0.9953896490751329
1055,Chibi,EyesClosed,Ketamine,0.0,32.0,659.4847378050944,668.8916034865565,4.2340433019913855,268181.7049850228,0.008312450118312387,-2.0802709478129504,0.03905703908587781,0.9970187758802082
1056,Chibi,EyesClosed,Ketamine,0.0,33.0,714.2223463879052,676.6680449693858,3.491203502189362,13208.346732000036,0.01050674752528017,-1.978531703613325,0.04039924694933792,0.9967162756846637
1057,Chibi,EyesClosed,Ketamine,0.0,34.0,173.36264253394086,773.8735635047494,3.1191738823172197,2625.361498547541,0.01275369234650834,-1.8943640635778132,0.039267490402804986,0.9923821959328429
1058,Chibi,EyesClosed,Ketamine,0.0,35.0,213.76421077363455,734.9913560906039,2.5399169707290885,350.57882254213604,0.015845401755250045,-1.8000967449321088,0.03707178121658109,0.9938159931282129
1059,Chibi,EyesClosed,Ketamine,0.0,36.0,254.16577901332823,710.3659580616452,2.43023109168571,430.5958115282263,0.013120303028580754,-1.882056134310915,0.03699747227188524,0.9918324240662256
1060,Chibi,EyesClosed,Ketamine,0.0,37.0,301.08372922716626,689.628780774101,2.882653852375587,2667.8941044019994,0.010310351675575398,-1.986726521122202,0.021769116965899858,0.9975812065213644
1061,Chibi,EyesClosed,Ketamine,0.0,38.0,362.33771978412113,674.0758978084427,3.144763794969532,2972.309307621395,0.012514536472339905,-1.9025852316516885,0.025493672736827993,0.998082270783821
1062,Chibi,EyesClosed,Ketamine,0.0,39.0,411.8622227876167,662.4112355841992,2.3805518154368834,132.18939050967074,0.020453500753572038,-1.6892323488868743,0.046812552257679385,0.9928498251048848
1063,Chibi,EyesClosed,Ketamine,0.0,40.0,470.50966055491403,645.5622790380694,2.0641920752747525,65.31913701320713,0.02101463743787652,-1.6774780984060043,0.05352817947805216,0.98737789538987
1064,Chibi,EyesClosed,Ketamine,0.0,41.0,533.0669275066978,635.1936903942974,2.6288415908533436,651.141556516724,0.01353661705116546,-1.8684898570378905,0.02909828968872866,0.9964866567451834
1065,Chibi,EyesClosed,Ketamine,0.0,42.0,586.5012596946801,632.6015432333545,2.8032003671783357,1376.7578433169967,0.012080347443923434,-1.9179205747538957,0.02155871011053704,0.9979384933311961
1066,Chibi,EyesClosed,Ketamine,0.0,43.0,649.0585266464636,636.4897639747688,3.3236526267413646,10394.558199724368,0.009846194959108403,-2.006731569251185,0.03467214362358784,0.9951674380678008
1067,Chibi,EyesClosed,Ketamine,0.0,44.0,705.0994116241035,641.674058296655,3.58223015672431,8244.988805954048,0.012840836467025699,-1.8914066848979065,0.0448918424890288,0.9952011770072187
1068,Chibi,EyesClosed,Ketamine,0.0,45.0,75.61691292177875,817.9400652407807,2.441184295149861,141.61636865298894,0.020923963356590032,-1.6793560492087711,0.024869194366305435,0.9966242955568216
1069,Chibi,EyesClosed,Ketamine,0.0,46.0,131.65779789941826,749.2481654757906,2.3586149884766647,78.60633837387618,0.025014309504689577,-1.6018114808853885,0.02292009688377918,0.9980434272746854
1070,Chibi,EyesClosed,Ketamine,0.0,47.0,179.87902450808497,707.7738109007021,2.003396612518342,22.634525732752994,0.033541531618607456,-1.4744171099373766,0.016476825484663327,0.9989762941034884
1071,Chibi,EyesClosed,Ketamine,0.0,48.0,237.2231858805535,676.6680449693858,2.0494003059115133,28.05422899542701,0.03128043545364467,-1.5047272097746363,0.023459900170793725,0.9979951537865265
1072,Chibi,EyesClosed,Ketamine,0.0,49.0,291.9607944633644,650.7465733599555,1.9563317879677695,9.341643090475651,0.050789958360758634,-1.2942221432198404,0.023732887853326334,0.9976623148085675
1073,Chibi,EyesClosed,Ketamine,0.0,50.0,351.9115086254906,632.6015432333545,1.8365240319510872,13.341459695804671,0.03882747502220992,-1.4108608510088376,0.02966790843684702,0.996234605286934
1074,Chibi,EyesClosed,Ketamine,0.0,51.0,407.9523936031302,622.2329545895823,1.956736563160531,33.22845967019982,0.02656101913771134,-1.5757552652455524,0.03673819389758874,0.9940325737896781
1075,Chibi,EyesClosed,Ketamine,0.0,52.0,273.5689655172414,358.1973684210526,2.391793033286791,121.45490085189554,0.02139605744274824,-1.6696662448097792,0.03205923154530765,0.9960418113965234
1076,Chibi,EyesClosed,Ketamine,0.0,53.0,327.51724137931035,379.9780701754386,2.1581493141665993,62.8407857336882,0.023366139004137112,-1.6314130440359869,0.02994484615414894,0.9960547830341061
