,GeneID,Symbol,Synonyms
264,397,ARHGDIB,D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2
265,398,ARHGDIG,RHOGDI-3
266,400,ARL1,ARFL1
267,401,PHOX2A,ARIX|CFEOM2|FEOM2|NCAM2|PMX2A
268,402,ARL2,ARFL2
269,403,ARL3,ARFL3|JBTS35|RP83
270,405,ARNT,HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2
271,406,ARNTL,BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
272,408,ARRB1,ARB1|ARR1
273,409,ARRB2,ARB2|ARR2|BARR2
274,410,ARSA,ASA|MLD
275,411,ARSB,ASB|G4S|MPS6
276,412,STS,ARSC|ARSC1|ASC|ES|SSDD|XLI
277,414,ARSD,ASD
278,415,ARSL,ARSE|ASE|CDPX|CDPX1|CDPXR
279,416,ARSF,ASF
280,419,ART3,ARTC3
281,421,ARVCF,-
282,427,ASAH1,AC|ACDase|ASAH|PHP|PHP32|SMAPME
283,429,ASCL1,ASH1|HASH1|MASH1|bHLHa46
284,430,ASCL2,ASH2|HASH2|MASH2|bHLHa45
285,432,ASGR1,ASGPR|ASGPR1|CLEC4H1|HL-1
286,433,ASGR2,ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2
287,434,ASIP,AGSW|AGTI|AGTIL|ASP|SHEP9
288,435,ASL,ASAL
289,438,ASMT,ASMTY|HIOMT|HIOMTY
290,439,GET3,ARSA-I|ARSA1|ASNA-I|ASNA1|TRC40
291,440,ASNS,ASNSD|TS11
292,443,ASPA,ACY2|ASP
293,444,ASPH,AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin
294,445,ASS1,ASS|CTLN1
295,460,ASTN1,ASTN
296,463,ZFHX3,ATBF1|ATBT|C16orf47|ZFH-3|ZNF927
297,466,ATF1,EWS-ATF1|FUS/ATF-1|TREB36
298,467,ATF3,-
299,468,ATF4,CREB-2|CREB2|TAXREB67|TXREB
300,471,ATIC,AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH
301,473,RERE,ARG|ARP|ATN1L|DNB1|NEDBEH
302,475,ATOX1,ATX1|HAH1
303,476,ATP1A1,CMT2DD|HOMGSMR2
304,477,ATP1A2,FHM2|MHP2
305,478,ATP1A3,AHC2|ATP1A1|CAPOS|DYT12|RDP
306,480,ATP1A4,ATP1A1|ATP1AL2
307,481,ATP1B1,ATP1B
308,482,ATP1B2,AMOG
309,483,ATP1B3,ATPB-3|CD298
310,486,FXYD2,ATP1G1|HOMG2
311,487,ATP2A1,ATP2A|SERCA1
312,488,ATP2A2,ATP2B|DAR|DD|SERCA2
313,489,ATP2A3,SERCA3
314,490,ATP2B1,PMCA1|PMCA1kb
315,491,ATP2B2,PMCA2|PMCA2a|PMCA2i
316,492,ATP2B3,CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1
317,493,ATP2B4,ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x
318,495,ATP4A,ATP6A
319,496,ATP4B,ATP6B
320,498,ATP5F1A,ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1
321,501,ALDH7A1,ATQ1|EPD|PDE
322,506,ATP5F1B,ATP5B|ATPMB|ATPSB|HEL-S-271
323,509,ATP5F1C,ATP5C|ATP5C1|ATP5CL1
324,513,ATP5F1D,ATP5D|MC5DN5
325,514,ATP5F1E,ATP5E|ATPE|MC5DN3
326,515,ATP5PB,ATP5F1|PIG47
327,516,ATP5MC1,ATP5A|ATP5G|ATP5G1
328,517,ATP5MC2,ATP5A|ATP5G2
329,518,ATP5MC3,ATP5G3|P3
330,521,ATP5ME,ATP5I|ATP5K
331,522,ATP5PF,ATP5|ATP5A|ATP5J|ATPM|CF6|F6
332,523,ATP6V1A,ARCL2D|ATP6A1|ATP6V1A1|HO68|IECEE3|VA68|VPP2|Vma1
333,525,ATP6V1B1,ATP6B1|RTA1B|VATB|VMA2|VPP3
334,526,ATP6V1B2,ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2
335,527,ATP6V0C,ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3
336,528,ATP6V1C1,ATP6C|ATP6D|VATC|Vma5
337,529,ATP6V1E1,ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4
338,533,ATP6V0B,ATP6F|HATPL|VMA16
339,534,ATP6V1G2,ATP6G|ATP6G2|NG38|VMA10
340,535,ATP6V0A1,ATP6N1|ATP6N1A|Stv1|VPP1|Vph1|a1
341,537,ATP6AP1,16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3
342,538,ATP7A,DSMAX|MK|MNK|SMAX3
343,539,ATP5PO,ATP5O|ATPO|HMC08D05|OSCP
344,540,ATP7B,PWD|WC1|WD|WND
345,545,ATR,FCTCS|FRP1|MEC1|SCKL|SCKL1
346,546,ATRX,JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX
347,547,KIF1A,ATSV|C2orf20|HSN2C|MRD9|SPG30|UNC104
348,549,AUH,-
349,550,AUP1,-
350,551,AVP,ADH|ARVP|AVP-NPII|AVRP|VP
351,552,AVPR1A,AVPR V1a|AVPR1|V1aR
