,w,w_zscore,pv
SLC25A4,-1.1509187561159584e-05,-1.3448280221136264,0.21599999999999997
SLC25A5,-1.5442689992689848e-05,-1.8143928406155183,0.006000000000000005
SLC25A6,-1.6207554303986646e-06,-0.16438898093508983,0.832
ANXA1,9.19794516154028e-07,0.13889108442994103,0.902
ANXA2,5.5187447010075865e-06,0.6878942302116212,0.504
ANXA2P1,6.89878152059376e-07,0.11144464511638506,0.935
ANXA2P3,-9.447957164271309e-06,-1.0987670893817538,0.08999999999999997
ANXA3,-1.6780163687636266e-05,-1.9740547713631353,0.020000000000000018
ANXA4,-6.959789458542162e-06,-0.8017401935096072,0.40700000000000003
ANXA5,-9.469284219166077e-06,-1.10131302263975,0.135
ANXA6,-1.60423728037975e-05,-1.885980428333602,0.01100000000000001
ANXA7,-5.706526787032314e-07,-0.03903217320677368,0.926
ANXA11,9.995708211990124e-06,1.2223351248258068,0.42800000000000005
ANXA13,-8.328565971129465e-06,-0.9651389217144519,0.345
AOAH,1.319326887690071e-05,1.6040463400603704,0.05500000000000005
AOC2,8.687842701599023e-06,1.0662076934331266,0.239
AOX1,1.063217433110446e-05,1.2983137476706537,0.18700000000000006
APAF1,1.1441798252350049e-05,1.394963213700493,0.15700000000000003
NUDT2,5.937759752350463e-06,0.7379144678899375,0.27
APBA1,1.6005036537693925e-05,1.9397032245525485,0.03400000000000003
APBA2,-1.1004034026810917e-05,-1.2845249380807684,0.062000000000000055
APBB1,-5.460602102718909e-06,-0.6227735725677687,0.44499999999999995
APBB2,-5.344379469325636e-06,-0.6088994080782114,0.538
APC,5.6680483439206565e-06,0.7057174651546521,0.44299999999999995
APCS,1.1502047428840583e-06,0.16639647896795223,0.874
AIRE,-6.520164042569343e-06,-0.7492595780140204,0.41500000000000004
APEH,-2.5951719580201114e-06,-0.28071068859952497,0.796
APEX1,2.0710647648673724e-06,0.276324838391903,0.778
BIRC2,2.8976420464992428e-06,0.37499812460015897,0.6990000000000001
BIRC3,1.2202685173909793e-05,1.4857946636466592,0.137
XIAP,1.0414653548656385e-05,1.2723470402620392,0.33099999999999996
BIRC5,-1.4663678460985047e-06,-0.14595884665584213,0.847
APLP1,6.037337295014511e-06,0.7498016121238149,0.41000000000000003
APLP2,-2.9991226963517406e-06,-0.3289326125541021,0.5920000000000001
APOA1,4.838869246355352e-06,0.6067335852076545,0.391
APOA4,-1.9867516320244e-06,-0.2080800534538658,0.722
APOC1,1.574672545822863e-05,1.9088671446828935,0.07499999999999996
AQP8,-4.7645330048354947e-07,-0.027787051408410385,0.953
APOC2,1.667041488383754e-05,2.0191332662979318,0.05800000000000005
APOC4,9.620662783803725e-06,1.1775637940635173,0.10799999999999998
APOD,-9.503055942107818e-07,-0.08435352624192699,0.849
APOE,1.670189172192888e-05,2.022890837577638,0.026000000000000023
APP,1.5000548194265194e-06,0.20816009563123833,0.8220000000000001
APRT,1.0621257803957068e-05,1.2970105790117132,0.04600000000000004
KLK3,1.752244985927469e-07,0.05000747720102721,0.974
FAS,6.779217763591332e-06,0.8383641524148729,0.275
SHROOM2,-1.5256888551813117e-05,-1.792212653522376,0.0020000000000000018
AQP1,6.54263211677404e-06,0.8101215624478709,0.30300000000000005
AQP2,3.5589904246446473e-06,0.4539470858772859,0.681
AQP3,1.1505284978488955e-05,1.4025419895003335,0.135
AQP4,1.2655505788433932e-05,1.5398504659180776,0.10299999999999998
AQP5,5.91984646292311e-06,0.7357760554584866,0.5640000000000001
AQP6,-6.897559092332677e-06,-0.7943113966235976,0.40800000000000003
AQP7,-4.785478747687375e-06,-0.5421802130389577,0.43000000000000005
AQP9,-2.547450346479946e-06,-0.2750138852413133,0.694
AR,-1.7021813963280717e-05,-2.0029019552149516,0.05600000000000005
ABCC6,8.681295024395832e-06,1.0654260595302516,0.16300000000000003
ARAF,-2.5613833235234154e-06,-0.27667714488090694,0.747
ARCN1,2.5245762720291627e-07,0.0592272401602327,0.972
TRIM23,-1.0523843548229258e-05,-1.2272018376514613,0.10499999999999998
AREG,2.794817284967615e-06,0.3627233411656625,0.6890000000000001
ARF1,4.97621612514425e-06,0.6231294724183357,0.585
ARF3,9.56623182757294e-06,1.1710660576242264,0.18500000000000005
ARF4,4.701171292996792e-06,0.5902957882055208,0.43799999999999994
ARL4D,-1.196460056134624e-05,-1.3991932923780852,0.31499999999999995
ARF5,-5.3490038598663306e-06,-0.6094514481856529,0.634
ARF6,-1.0095486469887313e-05,-1.1760663884565346,0.17100000000000004
ARG1,-5.7607514510107465e-06,-0.6586041273233398,0.536
